training_cost,training_accuracy,testing_cost,testing_accuracy
30.29723,0.19563736,29.453138,0.20985691
19.30974,0.20995228,20.415356,0.21621622
7.6313977,0.2726653,7.421497,0.27503973
8.120607,0.2965235,7.7888255,0.26550078
3.575513,0.29788685,3.2441318,0.31796503
2.5895298,0.25835037,2.5651276,0.24642289
3.8964012,0.16087253,3.7453818,0.17170112
2.5618365,0.133606,2.583065,0.13036565
2.7165222,0.22290389,2.8135285,0.19872814
2.7338538,0.30197683,2.8507226,0.290938
8.363722,0.17791411,9.342484,0.19395867
9.181521,0.25153375,9.376817,0.24642289
1.7608825,0.21813224,2.0431328,0.1891892
3.6551118,0.2747103,3.8362372,0.2798092
1.9903351,0.23312883,2.0114017,0.22893482
1.9547021,0.2822086,1.8745822,0.290938
1.8196563,0.2576687,1.7328616,0.27503973
3.1080852,0.24948876,2.7294838,0.22257552
11.282186,0.3544649,12.423872,0.32750398
10.219414,0.37218815,10.551743,0.3783784
1.7136335,0.25357872,1.7305524,0.23052464
17.430422,0.41445127,17.067554,0.4244833
5.2514434,0.20449898,5.4187355,0.20190778
2.0437121,0.25562373,2.008948,0.27503973
3.6468601,0.3040218,3.8684921,0.28298888
1.6506323,0.27948195,1.5778512,0.26550078
13.345482,0.31629175,11.8847885,0.3418124
8.070025,0.49420586,7.984687,0.49920508
13.229811,0.37355146,12.863415,0.3783784
12.047299,0.46625766,11.471751,0.4753577
1.9000297,0.30129516,1.9927534,0.28298888
14.958084,0.26039538,13.755387,0.2782194
13.596084,0.467621,13.651105,0.46581876
13.131538,0.44785276,13.160048,0.4562798
12.700048,0.47034764,11.760599,0.47217807
10.597148,0.47034764,10.21542,0.47058824
19.074724,0.3708248,19.512966,0.3418124
10.879106,0.47716427,10.619786,0.47853735
8.834296,0.4710293,8.028747,0.4689984
8.794953,0.42603955,7.9538145,0.4244833
6.322141,0.48398092,6.4083424,0.47217807
7.714592,0.48534423,8.124346,0.48489666
6.0861807,0.50443083,5.814319,0.50874406
1.9924018,0.34219494,1.9584355,0.33863276
4.0245495,0.45875937,4.042883,0.45468998
3.733828,0.39127472,3.7349586,0.39586645
4.5701046,0.49284253,3.5127156,0.47376788
6.702638,0.50715744,6.756117,0.48171702
7.32397,0.5010225,7.6190567,0.4801272
2.4671035,0.35855487,2.8824959,0.33068362
10.538012,0.49829584,10.229903,0.4880763
7.077654,0.49284253,7.670716,0.4801272
3.3682992,0.4580777,2.9853156,0.4419714
8.729173,0.48534423,9.604816,0.47694755
8.963142,0.5010225,9.343329,0.48966613
4.5335274,0.48466256,3.7939274,0.47694755
7.5738015,0.5023858,6.61188,0.50397456
7.3411098,0.5030675,7.265914,0.4880763
7.9817495,0.49147922,8.80498,0.49125597
5.3437023,0.49079755,4.931033,0.47853735
5.030248,0.4969325,5.4176674,0.49284577
4.7478733,0.4751193,3.798811,0.48489666
4.779638,0.48670757,4.109338,0.49761525
7.4557366,0.5003408,7.9144926,0.47217807
7.6842523,0.49488753,7.5541224,0.49284577
8.018805,0.49488753,7.855981,0.49920508
5.7197886,0.5030675,5.43848,0.4753577
8.294099,0.50374913,8.854952,0.48171702
7.879147,0.49829584,7.850341,0.48489666
7.246579,0.48875254,6.33515,0.49284577
6.0172186,0.49829584,4.953992,0.49284577
6.850504,0.49625084,5.9779406,0.4880763
6.1928787,0.50443083,6.513117,0.49761525
